Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,19.0,19.100000381469727,17.149999618530273,17.25,10022500,0,0
2021-01-05,17.350000381469727,18.079999923706055,17.229999542236328,17.3700008392334,4961500,0,0
2021-01-06,17.34000015258789,18.979999542236328,17.329999923706055,18.360000610351562,6056200,0,0
2021-01-07,18.469999313354492,19.450000762939453,18.020000457763672,18.079999923706055,6129300,0,0
2021-01-08,18.18000030517578,18.299999237060547,17.079999923706055,17.690000534057617,6482000,0,0
2021-01-11,19.40999984741211,20.649999618530273,19.010000228881836,19.940000534057617,14927600,0,0
2021-01-12,19.959999084472656,20.399999618530273,19.31999969482422,19.950000762939453,7060700,0,0
2021-01-13,20.420000076293945,38.650001525878906,20.030000686645508,31.399999618530273,144501700,0,0
2021-01-14,38.09000015258789,43.060001373291016,33.04999923706055,39.90999984741211,93717400,0,0
2021-01-15,38.4900016784668,40.75,34.0099983215332,35.5,46866400,0,0
2021-01-19,41.54999923706055,45.52000045776367,36.63999938964844,39.36000061035156,74721900,0,0
2021-01-20,37.369998931884766,41.189998626708984,36.060001373291016,39.119998931884766,33471800,0,0
2021-01-21,39.22999954223633,44.75,37.0,43.029998779296875,57079800,0,0
2021-01-22,42.59000015258789,76.76000213623047,42.31999969482422,65.01000213623047,197157900,0,0
2021-01-25,96.7300033569336,159.17999267578125,61.130001068115234,76.79000091552734,177874000,0,0
2021-01-26,88.55999755859375,150.0,80.19999694824219,147.97999572753906,178588000,0,0
2021-01-27,354.8299865722656,380.0,249.0,347.510009765625,93396700,0,0
2021-01-28,265.0,483.0,112.25,193.60000610351562,58815800,0,0
2021-01-29,379.7099914550781,413.9800109863281,250.0,325.0,50259200,0,0
2021-02-01,316.55999755859375,322.0,212.0,225.0,37382200,0,0
2021-02-02,140.75999450683594,158.0,74.22000122070312,90.0,78183100,0,0
2021-02-03,112.01000213623047,113.4000015258789,85.25,92.41000366210938,42698500,0,0
2021-02-04,91.19000244140625,91.5,53.33000183105469,53.5,62427300,0,0
2021-02-05,54.040000915527344,95.0,51.09000015258789,63.77000045776367,80886300,0,0
2021-02-08,72.41000366210938,72.66000366210938,58.02000045776367,60.0,25687300,0,0
2021-02-09,56.61000061035156,57.0,46.52000045776367,50.310001373291016,26843100,0,0
2021-02-10,50.77000045776367,62.83000183105469,46.54999923706055,51.20000076293945,36455000,0,0
2021-02-11,50.0099983215332,55.31999969482422,48.220001220703125,51.099998474121094,12997400,0,0
2021-02-12,50.75,55.2400016784668,48.04999923706055,52.400001525878906,14498000,0,0
2021-02-16,52.65999984741211,53.5,49.040000915527344,49.5099983215332,8175000,0,0
2021-02-17,49.77000045776367,51.189998626708984,44.560001373291016,45.939998626708984,9186800,0,0
2021-02-18,48.4900016784668,48.869998931884766,40.650001525878906,40.689998626708984,23990600,0,0
2021-02-19,41.279998779296875,43.88999938964844,38.5,40.59000015258789,14828200,0,0
2021-02-22,46.689998626708984,48.5099983215332,42.400001525878906,46.0,19476000,0,0
2021-02-23,44.970001220703125,46.22999954223633,40.0,44.970001220703125,7565200,0,0
2021-02-24,44.70000076293945,91.70999908447266,44.70000076293945,91.70999908447266,83111700,0,0
2021-02-25,169.55999755859375,184.67999267578125,101.0,108.7300033569336,150308800,0,0
2021-02-26,117.45999908447266,142.89999389648438,86.0,101.73999786376953,91963000,0,0
2021-03-01,104.54000091552734,133.99000549316406,99.97000122070312,120.4000015258789,49597300,0,0
2021-03-02,116.93000030517578,133.1999969482422,112.19999694824219,118.18000030517578,33640400,0,0
2021-03-03,122.51000213623047,127.75,113.12000274658203,124.18000030517578,19173700,0,0
2021-03-04,125.0,147.8699951171875,115.30000305175781,132.35000610351562,32473600,0,0
2021-03-05,128.1699981689453,151.52999877929688,127.5,137.74000549316406,30660200,0,0
2021-03-08,154.88999938964844,210.8699951171875,146.10000610351562,194.5,63424800,0,0
2021-03-09,217.7100067138672,249.85000610351562,208.50999450683594,246.89999389648438,38725800,0,0
2021-03-10,269.42999267578125,348.5,172.0,265.0,71361900,0,0
2021-03-11,241.63999938964844,281.5,232.60000610351562,260.0,28186000,0,0
2021-03-12,275.0,295.5,262.2699890136719,264.5,25760700,0,0
2021-03-15,277.5199890136719,283.0,206.0,220.13999938964844,24100400,0,0
2021-03-16,203.16000366210938,220.6999969482422,172.35000610351562,208.1699981689453,35241900,0,0
2021-03-17,217.83999633789062,231.47000122070312,204.0,209.80999755859375,16259300,0,0
2021-03-18,214.0,218.8800048828125,195.64999389648438,201.75,11764900,0,0
2021-03-19,195.72999572753906,227.0,182.66000366210938,200.27000427246094,24552100,0,0
2021-03-22,205.25999450683594,210.36000061035156,186.1999969482422,194.49000549316406,10061500,0,0
2021-03-23,197.5,201.75,177.5500030517578,181.75,14429100,0,0
2021-03-24,157.97999572753906,166.97000122070312,118.62000274658203,120.33999633789062,24177900,0,0
2021-03-25,123.48999786376953,187.5,116.9000015258789,183.75,50962300,0,0
2021-03-26,197.67999267578125,218.92999267578125,163.25999450683594,181.0,37371900,0,0
2021-03-29,180.75,193.9199981689453,173.50999450683594,181.3000030517578,10042200,0,0
2021-03-30,187.5,204.3000030517578,182.0,194.4600067138672,17094900,0,0
2021-03-31,197.5,199.4600067138672,187.11000061035156,189.82000732421875,8393800,0,0
2021-04-01,193.36000061035156,196.97000122070312,183.60000610351562,191.4499969482422,9334300,0,0
2021-04-05,171.0,195.0,164.80999755859375,186.9499969482422,14070500,0,0
2021-04-06,185.2100067138672,192.0,183.55999755859375,184.5,6218300,0,0
2021-04-07,183.22000122070312,184.5,176.11000061035156,177.97000122070312,4768300,0,0
2021-04-08,185.8800048828125,185.8800048828125,164.3000030517578,170.25999450683594,10047400,0,0
2021-04-09,169.6999969482422,171.5800018310547,153.0,158.36000061035156,9442000,0,0
2021-04-12,158.11000061035156,163.89999389648438,135.00999450683594,141.08999633789062,16683600,0,0
